ReturnID,OrderID,ReturnDate,ReturnReason
R00073,O01386,1970-01-01 00:00:00.000020097,Late Delivery
R00074,O01387,1970-01-01 00:00:00.000019833,Wrong Product
R00075,O01403,1970-01-01 00:00:00.000019908,Not Satisfied
R00076,O01420,1970-01-01 00:00:00.000020616,Damaged
R00077,O01548,1970-01-01 00:00:00.000020606,Size Issue
R00078,O01549,1970-01-01 00:00:00.000020619,Size Issue
R00079,O01601,1970-01-01 00:00:00.000020569,Size Issue
R00080,O01615,1970-01-01 00:00:00.000020389,Wrong Product
R00081,O01618,1970-01-01 00:00:00.000020619,Not Satisfied
R00082,O01646,1970-01-01 00:00:00.000020014,Late Delivery
R00083,O01703,1970-01-01 00:00:00.000020287,Not Satisfied
R00084,O01707,1970-01-01 00:00:00.000020123,Wrong Product
R00085,O01733,1970-01-01 00:00:00.000020405,Late Delivery
R00086,O01739,1970-01-01 00:00:00.000020174,Damaged
R00087,O01765,1970-01-01 00:00:00.000019741,Not Satisfied
R00088,O01777,1970-01-01 00:00:00.000019765,Size Issue
R00089,O01813,1970-01-01 00:00:00.000020185,Not Satisfied
R00090,O01829,1970-01-01 00:00:00.000020257,Wrong Product
R00091,O01831,1970-01-01 00:00:00.000019931,Size Issue
R00092,O01840,1970-01-01 00:00:00.000019831,Damaged
R00093,O01841,1970-01-01 00:00:00.000020492,Late Delivery
R00094,O01842,1970-01-01 00:00:00.000020195,Late Delivery
R00095,O01843,1970-01-01 00:00:00.000020476,Damaged
R00096,O01845,1970-01-01 00:00:00.000020433,Late Delivery
R00097,O01854,1970-01-01 00:00:00.000020523,Not Satisfied
R00098,O01861,1970-01-01 00:00:00.000020292,Late Delivery
R00099,O01878,1970-01-01 00:00:00.000020513,Size Issue
R00100,O01895,1970-01-01 00:00:00.000020340,Late Delivery
R00101,O01904,1970-01-01 00:00:00.000020377,Late Delivery
R00102,O01909,1970-01-01 00:00:00.000020314,Size Issue
R00103,O01931,1970-01-01 00:00:00.000019735,Wrong Product
R00104,O01951,1970-01-01 00:00:00.000020418,Not Satisfied
R00105,O01954,1970-01-01 00:00:00.000020638,Size Issue
R00106,O01961,1970-01-01 00:00:00.000020601,Size Issue
R00107,O01970,1970-01-01 00:00:00.000019760,Late Delivery
R00108,O02044,1970-01-01 00:00:00.000020357,Not Satisfied
R00109,O02053,1970-01-01 00:00:00.000020478,Damaged
R00110,O02057,1970-01-01 00:00:00.000020652,Late Delivery
R00111,O02072,1970-01-01 00:00:00.000020235,Late Delivery
R00112,O02126,1970-01-01 00:00:00.000020488,Not Satisfied
R00113,O02135,1970-01-01 00:00:00.000020105,Wrong Product
R00114,O02145,1970-01-01 00:00:00.000019766,Damaged
R00115,O02174,1970-01-01 00:00:00.000020332,Damaged
R00116,O02181,1970-01-01 00:00:00.000020387,Not Satisfied
R00117,O02191,1970-01-01 00:00:00.000020663,Damaged
R00118,O02216,1970-01-01 00:00:00.000019985,Not Satisfied
R00119,O02220,1970-01-01 00:00:00.000020472,Wrong Product
R00120,O02221,1970-01-01 00:00:00.000020150,Size Issue
R00121,O02263,1970-01-01 00:00:00.000020456,Size Issue
R00122,O02282,1970-01-01 00:00:00.000019761,Damaged
R00123,O02290,1970-01-01 00:00:00.000019790,Not Satisfied
R00124,O02360,1970-01-01 00:00:00.000020395,Wrong Product
R00125,O02362,1970-01-01 00:00:00.000019874,Size Issue
R00126,O02413,1970-01-01 00:00:00.000020616,Not Satisfied
R00127,O02464,1970-01-01 00:00:00.000020370,Late Delivery
R00128,O02472,1970-01-01 00:00:00.000020077,Damaged
R00129,O02507,1970-01-01 00:00:00.000019819,Late Delivery
R00130,O02516,1970-01-01 00:00:00.000020491,Late Delivery
R00131,O02533,1970-01-01 00:00:00.000020387,Not Satisfied
R00132,O02535,1970-01-01 00:00:00.000019903,Damaged
R00133,O02542,1970-01-01 00:00:00.000020268,Damaged
R00134,O02565,1970-01-01 00:00:00.000019748,Size Issue
R00135,O02589,1970-01-01 00:00:00.000020605,Wrong Product
R00136,O02606,1970-01-01 00:00:00.000019902,Wrong Product
R00137,O02607,1970-01-01 00:00:00.000020244,Not Satisfied
R00138,O02637,1970-01-01 00:00:00.000020230,Not Satisfied
R00139,O02643,1970-01-01 00:00:00.000019991,Damaged
R00140,O02656,1970-01-01 00:00:00.000019800,Not Satisfied
R00141,O02664,1970-01-01 00:00:00.000020347,Damaged
R00142,O02669,1970-01-01 00:00:00.000019882,Late Delivery
R00143,O02690,1970-01-01 00:00:00.000020103,Size Issue
R00144,O02696,1970-01-01 00:00:00.000020314,Late Delivery
R00145,O02726,1970-01-01 00:00:00.000019840,Damaged
R00146,O02739,1970-01-01 00:00:00.000019737,Not Satisfied
R00147,O02746,1970-01-01 00:00:00.000020650,Wrong Product
R00148,O02753,1970-01-01 00:00:00.000020174,Not Satisfied
R00149,O02756,1970-01-01 00:00:00.000019883,Size Issue
R00150,O02784,1970-01-01 00:00:00.000020064,Late Delivery
R00151,O02799,1970-01-01 00:00:00.000020252,Late Delivery
R00152,O02825,1970-01-01 00:00:00.000019738,Not Satisfied
R00153,O02832,1970-01-01 00:00:00.000020171,Size Issue
R00154,O02837,1970-01-01 00:00:00.000019820,Wrong Product
R00155,O02846,1970-01-01 00:00:00.000020446,Late Delivery
R00156,O02851,1970-01-01 00:00:00.000019751,Late Delivery
R00157,O02893,1970-01-01 00:00:00.000020122,Damaged
R00158,O02926,1970-01-01 00:00:00.000019803,Size Issue
R00159,O02930,1970-01-01 00:00:00.000020551,Wrong Product
R00160,O02951,1970-01-01 00:00:00.000020614,Size Issue
R00161,O03002,1970-01-01 00:00:00.000020550,Wrong Product
R00162,O03023,1970-01-01 00:00:00.000020211,Wrong Product
R00163,O03098,1970-01-01 00:00:00.000020614,Damaged
R00164,O03101,1970-01-01 00:00:00.000020407,Size Issue
R00165,O03131,1970-01-01 00:00:00.000019853,Late Delivery
R00166,O03143,1970-01-01 00:00:00.000020237,Late Delivery
R00167,O03150,1970-01-01 00:00:00.000019827,Damaged
R00168,O03176,1970-01-01 00:00:00.000020360,Damaged
R00169,O03178,1970-01-01 00:00:00.000020061,Not Satisfied
R00170,O03197,1970-01-01 00:00:00.000019776,Damaged
R00171,O03198,1970-01-01 00:00:00.000020630,Late Delivery
R00172,O03203,1970-01-01 00:00:00.000019906,Not Satisfied
R00173,O03240,1970-01-01 00:00:00.000019849,Late Delivery
R00174,O03283,1970-01-01 00:00:00.000020066,Not Satisfied
R00175,O03288,1970-01-01 00:00:00.000019885,Not Satisfied
R00176,O03347,1970-01-01 00:00:00.000020441,Size Issue
R00177,O03363,1970-01-01 00:00:00.000020274,Late Delivery
R00178,O03380,1970-01-01 00:00:00.000020540,Wrong Product
R00179,O03381,1970-01-01 00:00:00.000020398,Size Issue
R00180,O03385,1970-01-01 00:00:00.000019896,Not Satisfied
R00181,O03430,1970-01-01 00:00:00.000020423,Size Issue
R00182,O03469,1970-01-01 00:00:00.000020382,Not Satisfied
R00183,O03487,1970-01-01 00:00:00.000020141,Damaged
R00184,O03495,1970-01-01 00:00:00.000020206,Damaged
R00185,O03510,1970-01-01 00:00:00.000020256,Not Satisfied
R00186,O03533,1970-01-01 00:00:00.000019816,Not Satisfied
R00187,O03547,1970-01-01 00:00:00.000020252,Wrong Product
R00188,O03555,1970-01-01 00:00:00.000019939,Wrong Product
R00189,O03576,1970-01-01 00:00:00.000019863,Late Delivery
R00190,O03603,1970-01-01 00:00:00.000019798,Size Issue
R00191,O03619,1970-01-01 00:00:00.000019847,Size Issue
R00192,O03664,1970-01-01 00:00:00.000019908,Late Delivery
R00193,O03673,1970-01-01 00:00:00.000020537,Wrong Product
R00194,O03697,1970-01-01 00:00:00.000020145,Wrong Product
R00195,O03729,1970-01-01 00:00:00.000020513,Damaged
R00196,O03756,1970-01-01 00:00:00.000020635,Size Issue
R00197,O03769,1970-01-01 00:00:00.000020663,Not Satisfied
R00198,O03778,1970-01-01 00:00:00.000020072,Not Satisfied
R00199,O03811,1970-01-01 00:00:00.000020149,Not Satisfied
R00200,O03875,1970-01-01 00:00:00.000020516,Wrong Product
R00201,O03884,1970-01-01 00:00:00.000020663,Late Delivery
R00202,O03895,1970-01-01 00:00:00.000019932,Not Satisfied
R00203,O04007,1970-01-01 00:00:00.000020298,Late Delivery
R00204,O04024,1970-01-01 00:00:00.000020286,Not Satisfied
R00205,O04040,1970-01-01 00:00:00.000019961,Wrong Product
R00206,O04045,1970-01-01 00:00:00.000019748,Damaged
R00207,O04064,1970-01-01 00:00:00.000020482,Size Issue
R00208,O04073,1970-01-01 00:00:00.000019839,Not Satisfied
R00209,O04075,1970-01-01 00:00:00.000019911,Not Satisfied
R00210,O04091,1970-01-01 00:00:00.000020437,Wrong Product
R00211,O04134,1970-01-01 00:00:00.000020506,Size Issue
R00212,O04144,1970-01-01 00:00:00.000020065,Wrong Product
R00213,O04185,1970-01-01 00:00:00.000020503,Damaged
R00214,O04214,1970-01-01 00:00:00.000019886,Not Satisfied
R00215,O04233,1970-01-01 00:00:00.000020352,Wrong Product
R00216,O04262,1970-01-01 00:00:00.000020628,Not Satisfied
R00217,O04286,1970-01-01 00:00:00.000019739,Not Satisfied
R00218,O04291,1970-01-01 00:00:00.000019787,Not Satisfied
R00219,O04292,1970-01-01 00:00:00.000020375,Late Delivery
R00220,O04302,1970-01-01 00:00:00.000020243,Late Delivery
R00221,O04303,1970-01-01 00:00:00.000019875,Late Delivery
R00222,O04317,1970-01-01 00:00:00.000020190,Wrong Product
R00223,O04357,1970-01-01 00:00:00.000020223,Not Satisfied
R00224,O04373,1970-01-01 00:00:00.000020257,Size Issue
R00225,O04389,1970-01-01 00:00:00.000019803,Damaged
R00226,O04399,1970-01-01 00:00:00.000020445,Late Delivery
R00227,O04419,1970-01-01 00:00:00.000020314,Late Delivery
R00228,O04434,1970-01-01 00:00:00.000020492,Damaged
R00229,O04449,1970-01-01 00:00:00.000019894,Late Delivery
R00230,O04469,1970-01-01 00:00:00.000020051,Not Satisfied
R00231,O04514,1970-01-01 00:00:00.000019791,Damaged
R00232,O04554,1970-01-01 00:00:00.000020231,Not Satisfied
R00233,O04556,1970-01-01 00:00:00.000020421,Not Satisfied
R00234,O04574,1970-01-01 00:00:00.000020152,Size Issue
R00235,O04612,1970-01-01 00:00:00.000019757,Late Delivery
R00236,O04623,1970-01-01 00:00:00.000020319,Size Issue
R00237,O04630,1970-01-01 00:00:00.000020576,Damaged
R00238,O04649,1970-01-01 00:00:00.000019942,Wrong Product
R00239,O04650,1970-01-01 00:00:00.000020337,Wrong Product
R00240,O04676,1970-01-01 00:00:00.000020400,Not Satisfied
R00241,O04697,1970-01-01 00:00:00.000020094,Size Issue
R00242,O04700,1970-01-01 00:00:00.000019939,Wrong Product
R00243,O04701,1970-01-01 00:00:00.000020497,Damaged
R00244,O04730,1970-01-01 00:00:00.000020646,Late Delivery
R00245,O04745,1970-01-01 00:00:00.000020213,Not Satisfied
R00246,O04772,1970-01-01 00:00:00.000020069,Not Satisfied
R00247,O04773,1970-01-01 00:00:00.000019735,Size Issue
R00248,O04790,1970-01-01 00:00:00.000020263,Size Issue
R00249,O04800,1970-01-01 00:00:00.000020028,Damaged
R00250,O04805,1970-01-01 00:00:00.000020190,Damaged
R00251,O04838,1970-01-01 00:00:00.000020600,Wrong Product
R00252,O04846,1970-01-01 00:00:00.000020327,Late Delivery
R00253,O04857,1970-01-01 00:00:00.000020073,Late Delivery
R00254,O04867,1970-01-01 00:00:00.000020380,Late Delivery
R00255,O04886,1970-01-01 00:00:00.000020594,Damaged
R00256,O04941,1970-01-01 00:00:00.000020529,Wrong Product
R00257,O04943,1970-01-01 00:00:00.000020659,Wrong Product
