OrderID,OrderDate,CustomerID,PaymentMethod,OrderStatus
O00175,2025-11-09,C0452,UPI,Cancelled
O00176,2024-09-03,C0965,COD,Delivered
O00177,2025-07-12,C0129,Credit Card,Delivered
O00178,2026-01-27,C0091,UPI,Delivered
O00179,2024-05-06,C0604,UPI,Delivered
O00180,2024-05-26,C0575,UPI,Delivered
O00181,2024-04-27,C0029,COD,Delivered
O00182,2026-06-29,C0722,UPI,Delivered
O00183,2025-01-16,C0524,UPI,Delivered
O00184,2025-02-15,C0333,Debit Card,Returned
O00185,2025-10-25,C0297,UPI,Delivered
O00186,2025-08-06,C0130,UPI,Delivered
O00187,2024-12-28,C0293,UPI,Cancelled
O00188,2025-05-23,C0173,UPI,Delivered
O00189,2024-05-16,C0720,UPI,Delivered
O00190,2024-06-23,C0944,UPI,Returned
O00191,2024-10-15,C0024,Net Banking,Delivered
O00192,2025-04-25,C0099,UPI,Delivered
O00193,2024-01-19,C0406,Net Banking,Cancelled
O00194,2024-07-13,C0356,Net Banking,Delivered
O00195,2024-11-25,C0139,Credit Card,Delivered
O00196,2026-07-24,C0503,UPI,Cancelled
O00197,2024-06-23,C0826,UPI,Delivered
O00198,2025-03-24,C0174,Debit Card,Returned
O00199,2026-07-13,C0029,Debit Card,Delivered
O00200,2024-12-19,C0931,Debit Card,Delivered
O00201,2025-05-13,C0496,UPI,Delivered
O00202,2024-05-20,C0655,COD,Delivered
O00203,2026-01-27,C0828,UPI,Delivered
O00204,2026-06-15,C0351,Credit Card,Delivered
O00205,2026-07-18,C0554,Credit Card,Delivered
O00206,2024-04-02,C0299,UPI,Delivered
O00207,2024-08-26,C0720,Credit Card,Delivered
O00208,2024-07-23,C0842,Net Banking,Delivered
O00209,2025-07-13,C0945,Net Banking,Cancelled
O00210,2025-03-08,C0192,COD,Delivered
O00211,2024-09-01,C0672,Credit Card,Delivered
O00212,2026-04-11,C0064,Debit Card,Cancelled
O00213,2024-11-12,C0755,UPI,Delivered
O00214,2026-07-13,C0770,Credit Card,Delivered
O00215,2024-10-21,C0664,UPI,Delivered
O00216,2025-10-01,C0215,Credit Card,Cancelled
O00217,2026-05-05,C0834,UPI,Delivered
O00218,2024-10-08,C0166,Credit Card,Delivered
O00219,2024-01-17,C0543,Credit Card,Returned
O00220,2024-03-11,C0883,COD,Returned
O00221,2024-09-25,C0232,Credit Card,Delivered
O00222,2024-11-20,C0794,COD,Delivered
O00223,2026-03-04,C0541,Net Banking,Returned
O00224,2024-10-31,C0195,Credit Card,Delivered
O00225,2025-03-26,C0506,Debit Card,Delivered
O00226,2024-01-07,C0334,UPI,Delivered
O00227,2024-11-09,C0768,Net Banking,Delivered
O00228,2026-03-27,C0793,Credit Card,Delivered
O00229,2024-04-12,C0304,COD,Delivered
O00230,2026-03-31,C0833,Debit Card,Delivered
O00231,2024-07-11,C0437,Net Banking,Delivered
O00232,2026-01-22,C0323,Net Banking,Delivered
O00233,2025-07-27,C0502,UPI,Delivered
O00234,2025-06-12,C0858,UPI,Delivered
O00235,2024-06-19,C0914,Credit Card,Delivered
O00236,2025-06-20,C0393,Credit Card,Delivered
O00237,2024-09-07,C0806,UPI,Delivered
O00238,2026-02-03,C0599,COD,Delivered
O00239,2025-01-21,C0149,Credit Card,Cancelled
O00240,2024-07-25,C0761,COD,Cancelled
O00241,2025-06-24,C0833,Net Banking,Delivered
O00242,2025-09-20,C0405,Credit Card,Delivered
O00243,2025-02-19,C0283,COD,Delivered
O00244,2026-03-04,C0362,Credit Card,Delivered
O00245,2025-01-14,C0379,COD,Delivered
O00246,2024-05-23,C0198,Credit Card,Delivered
O00247,2024-01-25,C0556,Credit Card,Delivered
O00248,2026-04-01,C0356,Credit Card,Delivered
O00249,2025-10-29,C0540,Credit Card,Delivered
O00250,2024-03-13,C0429,Credit Card,Delivered
O00251,2025-09-23,C0017,Credit Card,Delivered
O00252,2026-04-03,C0639,UPI,Delivered
O00253,2026-04-12,C0379,COD,Delivered
O00254,2024-04-02,C0680,Credit Card,Delivered
O00255,2025-05-19,C0506,Credit Card,Delivered
O00256,2025-08-20,C0756,Debit Card,Returned
O00257,2024-12-01,C0899,Net Banking,Delivered
O00258,2025-02-28,C0076,COD,Delivered
O00259,2025-05-13,C0231,Credit Card,Delivered
O00260,2024-12-29,C0716,UPI,Delivered
O00261,2025-09-21,C0962,Credit Card,Delivered
O00262,2026-01-14,C0248,Credit Card,Delivered
O00263,2024-07-17,C0302,COD,Delivered
O00264,2025-12-18,C0726,Credit Card,Delivered
O00265,2025-02-16,C0215,COD,Delivered
O00266,2024-12-04,C0158,Credit Card,Delivered
O00267,2025-10-20,C0069,COD,Delivered
O00268,2026-07-25,C0393,UPI,Delivered
O00269,2025-03-04,C0085,COD,Delivered
O00270,2026-02-21,C0267,COD,Delivered
O00271,2026-06-17,C0069,COD,Delivered
O00272,2024-05-18,C0611,UPI,Delivered
O00273,2025-11-23,C0347,UPI,Delivered
O00274,2026-07-30,C0962,Debit Card,Delivered
O00275,2025-06-25,C0728,UPI,Delivered
O00276,2024-02-26,C0927,UPI,Delivered
O00277,2024-08-19,C0673,UPI,Returned
O00278,2025-10-19,C0423,Credit Card,Cancelled
O00279,2025-03-10,C0606,Credit Card,Cancelled
O00280,2025-01-18,C0174,UPI,Delivered
O00281,2025-07-13,C0677,UPI,Delivered
O00282,2024-07-12,C0115,Credit Card,Delivered
O00283,2026-01-05,C0220,Credit Card,Delivered
O00284,2025-10-09,C0956,UPI,Delivered
O00285,2025-06-17,C0031,Credit Card,Cancelled
O00286,2025-06-01,C0523,COD,Delivered
O00287,2025-12-16,C0343,COD,Delivered
O00288,2026-01-20,C0377,COD,Delivered
O00289,2024-07-03,C0130,COD,Delivered
O00290,2026-05-21,C1000,Credit Card,Delivered
O00291,2024-10-18,C0617,Debit Card,Delivered
O00292,2024-11-30,C0539,Credit Card,Delivered
O00293,2026-01-01,C0739,Debit Card,Delivered
O00294,2024-04-25,C0002,UPI,Delivered
O00295,2026-04-04,C0871,Debit Card,Delivered
O00296,2024-02-18,C0101,Credit Card,Delivered
O00297,2025-11-15,C0533,UPI,Delivered
O00298,2024-03-22,C0058,Net Banking,Delivered
O00299,2026-04-13,C0389,UPI,Returned
O00300,2024-11-28,C0692,UPI,Delivered
O00301,2025-07-10,C0941,UPI,Delivered
O00302,2024-11-30,C0341,Credit Card,Delivered
O00303,2025-06-15,C0861,UPI,Delivered
O00304,2024-08-08,C0020,COD,Delivered
O00305,2025-09-26,C0255,Credit Card,Delivered
O00306,2026-01-15,C0317,Credit Card,Delivered
O00307,2026-01-02,C0038,UPI,Delivered
O00308,2024-11-18,C0660,Debit Card,Delivered
O00309,2026-04-30,C0537,Net Banking,Delivered
O00310,2024-01-03,C0386,Debit Card,Delivered
O00311,2025-11-24,C0633,Debit Card,Delivered
O00312,2024-07-24,C0928,COD,Delivered
O00313,2026-04-11,C0026,COD,Cancelled
O00314,2024-02-09,C0454,Debit Card,Returned
O00315,2024-02-28,C0681,UPI,Delivered
O00316,2025-07-27,C0323,Debit Card,Cancelled
O00317,2025-10-05,C0737,Credit Card,Delivered
O00318,2025-05-21,C0513,Debit Card,Cancelled
O00319,2025-07-25,C0819,Net Banking,Delivered
O00320,2026-06-02,C0773,Debit Card,Delivered
O00321,2026-04-22,C0013,Net Banking,Delivered
O00322,2024-05-01,C0915,UPI,Delivered
O00323,2025-04-23,C0908,UPI,Delivered
O00324,2025-09-10,C0560,UPI,Cancelled
O00325,2024-04-05,C0921,COD,Cancelled
O00326,2026-05-08,C0825,Net Banking,Delivered
O00327,2025-02-17,C0371,Debit Card,Delivered
O00328,2024-08-22,C0291,Debit Card,Delivered
O00329,2026-06-16,C0332,Debit Card,Delivered
O00330,2024-03-02,C0606,COD,Delivered
O00331,2024-09-12,C0261,Net Banking,Delivered
O00332,2025-07-14,C0994,Debit Card,Delivered
O00333,2026-06-23,C0790,Debit Card,Delivered
O00334,2024-12-13,C0871,UPI,Delivered
O00335,2025-11-01,C0205,Debit Card,Delivered
O00336,2024-05-03,C0697,Credit Card,Delivered
O00337,2025-04-26,C0687,UPI,Cancelled
O00338,2024-11-12,C0950,Net Banking,Delivered
O00339,2025-05-18,C0387,Credit Card,Delivered
O00340,2025-12-19,C0892,COD,Delivered
O00341,2024-02-17,C0821,UPI,Delivered
O00342,2025-02-12,C0468,Credit Card,Delivered
O00343,2026-07-20,C0415,Credit Card,Delivered
O00344,2024-05-15,C0069,UPI,Delivered
O00345,2024-07-19,C0472,Credit Card,Delivered
O00346,2024-09-06,C0104,UPI,Delivered
O00347,2024-11-09,C0758,UPI,Delivered
O00348,2026-05-18,C0161,UPI,Delivered
O00349,2025-01-02,C0200,UPI,Delivered
O00350,2025-03-04,C0216,Debit Card,Cancelled
O00351,2026-04-09,C0946,UPI,Delivered
O00352,2026-03-17,C0212,Debit Card,Delivered
O00353,2025-04-24,C0508,Net Banking,Delivered
O00354,2024-11-09,C0016,Credit Card,Delivered
O00355,2025-05-14,C0498,COD,Delivered
O00356,2025-12-21,C0884,Debit Card,Delivered
O00357,2024-12-20,C0332,Debit Card,Delivered
O00358,2025-04-29,C0717,UPI,Delivered
O00359,2024-07-29,C0877,Net Banking,Delivered
O00360,2025-12-04,C0551,Net Banking,Delivered
O00361,2024-02-13,C0601,Credit Card,Delivered
O00362,2025-06-24,C0942,UPI,Returned
O00363,2025-07-24,C0256,Credit Card,Delivered
O00364,2025-08-05,C0992,Debit Card,Delivered
O00365,2024-04-01,C0766,Credit Card,Delivered
O00366,2024-09-21,C0728,Debit Card,Delivered
O00367,2026-06-13,C0880,UPI,Delivered
O00368,2024-08-07,C0815,Net Banking,Cancelled
O00369,2026-06-20,C0172,UPI,Delivered
O00370,2026-07-13,C0649,UPI,Delivered
O00371,2025-03-17,C1000,Credit Card,Delivered
O00372,2025-02-04,C0498,UPI,Delivered
O00373,2025-02-03,C0471,UPI,Delivered
O00374,2025-12-27,C0384,UPI,Delivered
O00375,2026-06-17,C0690,Credit Card,Delivered
O00376,2026-02-27,C0589,COD,Delivered
O00377,2025-07-29,C0700,Net Banking,Delivered
O00378,2026-05-07,C0507,Credit Card,Cancelled
O00379,2026-03-14,C0992,UPI,Delivered
O00380,2025-05-04,C0527,Credit Card,Delivered
O00381,2025-04-29,C0804,Debit Card,Delivered
O00382,2026-01-26,C0831,UPI,Delivered
O00383,2025-04-14,C0325,UPI,Delivered
O00384,2025-07-27,C0214,UPI,Delivered
O00385,2026-07-26,C0208,Net Banking,Delivered
O00386,2026-04-23,C0169,Credit Card,Cancelled
O00387,2025-11-12,C0330,Net Banking,Delivered
O00388,2025-03-20,C0280,UPI,Delivered
O00389,2024-09-25,C0978,UPI,Delivered
O00390,2024-09-23,C0305,Credit Card,Delivered
O00391,2024-02-23,C0146,Credit Card,Delivered
O00392,2025-06-11,C0775,UPI,Delivered
O00393,2025-06-03,C0516,UPI,Delivered
O00394,2025-09-07,C0090,UPI,Cancelled
O00395,2024-02-28,C0453,UPI,Delivered
O00396,2026-04-04,C0060,UPI,Delivered
O00397,2024-02-09,C0311,COD,Delivered
O00398,2024-08-24,C0528,Credit Card,Cancelled
O00399,2025-01-20,C0227,Debit Card,Returned
O00400,2025-08-28,C0474,Credit Card,Delivered
O00401,2026-01-03,C0978,UPI,Delivered
O00402,2025-12-16,C0541,UPI,Delivered
O00403,2025-10-11,C0663,Credit Card,Delivered
O00404,2024-10-26,C0757,Credit Card,Delivered
O00405,2025-01-29,C0782,UPI,Returned
O00406,2024-07-25,C0079,Net Banking,Delivered
O00407,2024-12-01,C0433,Credit Card,Delivered
O00408,2025-08-15,C0801,UPI,Delivered
O00409,2025-12-30,C0153,UPI,Delivered
O00410,2025-05-28,C0789,Credit Card,Delivered
O00411,2024-06-26,C0401,Net Banking,Delivered
O00412,2025-01-30,C0279,UPI,Cancelled
O00413,2025-01-05,C0057,UPI,Delivered
O00414,2026-05-07,C0977,Credit Card,Delivered
O00415,2026-03-01,C0186,UPI,Delivered
O00416,2025-10-19,C0398,Debit Card,Delivered
O00417,2024-11-13,C0605,Debit Card,Cancelled
O00418,2026-01-05,C0788,UPI,Delivered
O00419,2025-01-03,C0158,UPI,Delivered
O00420,2025-01-18,C0787,Debit Card,Delivered
O00421,2024-03-02,C0693,UPI,Delivered
O00422,2026-03-16,C0359,UPI,Delivered
O00423,2025-05-19,C0440,Net Banking,Delivered
O00424,2024-08-26,C0589,UPI,Delivered
O00425,2024-07-13,C0466,Credit Card,Returned
O00426,2025-11-08,C0663,UPI,Delivered
O00427,2024-08-09,C0446,Debit Card,Delivered
O00428,2024-03-01,C0750,UPI,Delivered
O00429,2024-05-08,C0801,COD,Cancelled
O00430,2025-11-15,C0743,Debit Card,Delivered
O00431,2024-06-04,C0488,UPI,Delivered
O00432,2026-07-05,C0530,Credit Card,Delivered
O00433,2025-01-12,C0073,Credit Card,Delivered
O00434,2025-09-13,C0929,Credit Card,Delivered
O00435,2026-02-19,C0928,Net Banking,Cancelled
O00436,2026-07-11,C0701,Credit Card,Delivered
O00437,2026-05-17,C0950,UPI,Delivered
O00438,2026-06-21,C0017,Debit Card,Delivered
O00439,2026-02-28,C0531,UPI,Delivered
O00440,2025-08-08,C0731,Net Banking,Delivered
O00441,2025-03-12,C0326,Debit Card,Delivered
O00442,2024-07-25,C0995,UPI,Delivered
O00443,2025-01-22,C0632,UPI,Delivered
O00444,2025-04-24,C0613,Net Banking,Delivered
O00445,2026-03-01,C0546,Net Banking,Delivered
O00446,2026-06-05,C0596,Credit Card,Delivered
O00447,2026-04-17,C0921,UPI,Returned
O00448,2024-12-05,C0708,Credit Card,Returned
O00449,2026-05-18,C0842,UPI,Delivered
O00450,2024-12-05,C0202,UPI,Delivered
O00451,2024-07-22,C0344,UPI,Delivered
O00452,2024-06-09,C0853,UPI,Delivered
O00453,2025-06-23,C0523,Credit Card,Delivered
O00454,2025-01-26,C0859,COD,Delivered
O00455,2026-02-07,C0400,Debit Card,Delivered
O00456,2025-11-07,C0218,UPI,Cancelled
O00457,2025-07-28,C0445,Credit Card,Delivered
O00458,2025-06-17,C0765,Credit Card,Delivered
O00459,2024-03-10,C0222,UPI,Delivered
O00460,2026-06-11,C0383,COD,Delivered
O00461,2025-02-08,C0881,Credit Card,Delivered
O00462,2025-08-30,C0592,COD,Delivered
O00463,2025-11-05,C0007,Credit Card,Delivered
O00464,2025-08-13,C0272,Debit Card,Delivered
O00465,2025-05-31,C0739,UPI,Delivered
O00466,2026-04-07,C0016,Credit Card,Delivered
O00467,2024-04-29,C0424,UPI,Delivered
O00468,2026-03-24,C0524,Net Banking,Cancelled
O00469,2025-11-20,C0803,Net Banking,Delivered
O00470,2025-11-18,C0753,Net Banking,Delivered
O00471,2026-06-20,C0021,Debit Card,Delivered
O00472,2024-08-04,C0690,Net Banking,Delivered
O00473,2024-02-25,C0939,UPI,Delivered
O00474,2024-12-31,C0228,Credit Card,Cancelled
O00475,2025-11-29,C0785,Debit Card,Delivered
O00476,2025-05-18,C0288,Debit Card,Delivered
O00477,2026-01-13,C0809,Debit Card,Delivered
O00478,2026-02-05,C0134,UPI,Delivered
O00479,2026-07-13,C0984,UPI,Delivered
O00480,2025-03-30,C0283,COD,Delivered
O00481,2024-04-13,C0404,Credit Card,Delivered
O00482,2024-03-17,C0665,UPI,Delivered
O00483,2024-08-17,C0066,Net Banking,Cancelled
O00484,2026-07-02,C0649,COD,Delivered
O00485,2024-09-14,C0604,UPI,Delivered
O00486,2024-09-20,C0437,Net Banking,Delivered
O00487,2024-11-26,C0829,COD,Delivered
O00488,2024-06-30,C0934,COD,Delivered
O00489,2026-06-11,C0259,COD,Delivered
O00490,2026-02-06,C0980,Credit Card,Delivered
O00491,2025-07-03,C0966,Credit Card,Delivered
O00492,2025-11-18,C0103,UPI,Delivered
O00493,2024-01-27,C0993,UPI,Delivered
O00494,2024-10-02,C0567,Credit Card,Delivered
O00495,2025-10-13,C0769,Credit Card,Delivered
O00496,2024-10-25,C0101,UPI,Delivered
O00497,2026-03-09,C0198,Credit Card,Delivered
O00498,2024-03-31,C0813,UPI,Delivered
O00499,2025-04-24,C0226,Net Banking,Delivered
O00500,2025-07-26,C0943,UPI,Cancelled
O00501,2025-04-02,C0463,Credit Card,Delivered
O00502,2025-03-26,C0237,Credit Card,Delivered
O00503,2024-12-30,C0026,UPI,Delivered
O00504,2026-05-08,C0121,COD,Delivered
O00505,2025-11-05,C0910,Credit Card,Delivered
O00506,2024-12-16,C0506,UPI,Delivered
O00507,2025-10-16,C0182,UPI,Delivered
O00508,2025-02-03,C0711,UPI,Delivered
O00509,2024-09-09,C0814,UPI,Delivered
O00510,2026-02-19,C0767,Credit Card,Delivered
O00511,2026-05-30,C0634,Credit Card,Delivered
O00512,2026-03-13,C0543,COD,Delivered
O00513,2025-04-03,C0984,Debit Card,Delivered
O00514,2025-11-29,C0315,UPI,Delivered
O00515,2026-07-05,C0991,UPI,Delivered
O00516,2025-05-13,C0797,Credit Card,Delivered
O00517,2026-07-14,C0618,UPI,Delivered
O00518,2025-05-22,C0736,UPI,Delivered
O00519,2024-10-30,C0273,Net Banking,Delivered
O00520,2025-05-15,C0910,UPI,Delivered
O00521,2026-03-13,C0232,Net Banking,Delivered
O00522,2025-08-20,C0420,UPI,Delivered
O00523,2024-06-14,C0768,COD,Delivered
O00524,2025-02-18,C0442,Debit Card,Delivered
O00525,2025-04-06,C0496,Debit Card,Cancelled
O00526,2026-07-08,C0024,UPI,Delivered
O00527,2024-04-23,C0109,COD,Delivered
O00528,2025-03-08,C0703,Net Banking,Delivered
O00529,2024-12-21,C0502,Debit Card,Delivered
O00530,2026-07-16,C0859,Credit Card,Delivered
O00531,2025-11-25,C0025,Debit Card,Delivered
O00532,2024-07-25,C0187,UPI,Returned
O00533,2026-02-06,C0288,Credit Card,Delivered
O00534,2024-08-22,C0628,Net Banking,Delivered
O00535,2025-03-17,C0338,Credit Card,Delivered
O00536,2024-12-20,C0878,UPI,Delivered
O00537,2025-05-29,C0914,Credit Card,Delivered
O00538,2024-07-26,C0037,Debit Card,Delivered
O00539,2025-12-09,C0794,UPI,Delivered
O00540,2026-05-02,C0137,UPI,Delivered
O00541,2024-05-04,C0508,UPI,Delivered
O00542,2024-05-17,C0227,Net Banking,Delivered
O00543,2024-12-04,C0320,UPI,Delivered
O00544,2025-06-20,C0840,Debit Card,Delivered
O00545,2024-03-08,C0916,Credit Card,Cancelled
O00546,2025-07-26,C0182,Net Banking,Delivered
O00547,2025-06-24,C0874,COD,Delivered
O00548,2025-01-17,C0086,UPI,Cancelled
O00549,2024-01-19,C0467,UPI,Delivered
O00550,2025-11-13,C0926,Net Banking,Delivered
O00551,2025-03-25,C0053,UPI,Delivered
O00552,2024-03-14,C0860,UPI,Delivered
O00553,2025-07-26,C0867,Net Banking,Returned
O00554,2026-07-27,C0235,COD,Delivered
O00555,2025-10-26,C0959,Credit Card,Delivered
O00556,2024-10-02,C0779,UPI,Delivered
O00557,2024-02-17,C0799,Credit Card,Delivered
O00558,2024-07-29,C0433,UPI,Delivered
O00559,2026-05-04,C0496,Net Banking,Delivered
